序位	詞彙	詞頻	常用詞標V
1367	做好	97	V
1368	平等	96	V
1369	跟	96	V
1370	女生	96	V
1371	煙	96	V
1372	汙染	96	V
1373	外籍	96	V
1374	市政府	96	V
1375	十九	96	V
1376	森林	96	V
1377	印尼	96	V
1378	自信	95	V
1379	特展	95	V
1380	群	95	V
1381	危險	95	V
1382	夠	95	V
1383	大專	95	V
1384	舞蹈	95	V
1385	兩百	95	V
1386	學到	95	V
1387	師長	95	V
1388	市府	95	V
1389	遊	95	V
1390	模式	95	V
1391	環保署	95	V
1392	親	95	V
1393	幫忙	95	V
1394	立即	95	V
1395	國中生	95	V
1396	同樣	94	V
1397	女兒	94	V
1398	境	94	V
1399	簡單	94	V
1400	彰化	94	V
1401	三成	94	V
1402	病例	94	V
1403	累積	94	V
1404	力量	94	V
1405	購買	94	V
1406	成本	94	V
1407	預防	94	V
1408	女孩	94	V
1409	游泳	94	V
1410	危害	94	V
1411	後續	93	V
1412	套	93	V
1413	適任	93	V
1414	反映	93	V
1415	中華民國	93	V
1416	確保	93	V
1417	問卷	93	V
1418	或是	93	V
1419	內政部	93	V
1420	體操	93	V
1421	男生	93	V
1422	掌握	92	V
1423	沒想到	92	V
1424	象徵	92	V
1425	成員	92	V
1426	筆	92	V
1427	薪資	92	V
1428	男子	92	V
1429	情境	92	V
1430	當中	92	V
1431	從事	92	V
1432	寵物	92	V
1433	潘文忠	92	V
1434	之間	92	V
1435	獎金	92	V
1436	否則	92	V
1437	促進	91	V
1438	中正	91	V
1439	貢獻	91	V
1440	列入	91	V
1441	回憶	91	V
1442	響應	91	V
1443	拍照	91	V
1444	紅	91	V
1445	優秀	91	V
1446	研議	91	V
1447	展覽	91	V
1448	難以	90	V
1449	深刻	90	V
1450	收到	90	V
1451	緊急	90	V
1452	母親	90	V
1453	山	90	V
